"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"wunderschöner#strongpositive";"1";"4";"4";"wunderschön";"G";"wunderschöner#4"
"hervorragend#strongpositive";"1";"3";"3";"hervorragend";"G";"hervorragend#3"
"kostenloses#positive";"1";"3";"3";"kostenlos";"G";"kostenloses#3"
"ausgezeichnet#strongpositive";"1";"3";"3";"auszeichnen";"V";"ausgezeichnet#3"
"unfreundliches#negative";"1";"3";"3";"unfreundlich";"G";"unfreundliches#3"
"exklusive#strongpositive";"1";"2";"2";"exklusiv";"G";"exklusive#2"
"harte#negative";"1";"2";"2";"hart";"G";"harte#2"
"wunderschönes#strongpositive";"1";"2";"2";"Wunderschöne";"G";"wunderschönes#2"
"gepflegtes#positive";"1";"2";"2";"gepflegt";"G";"gepflegtes#2"
"defekte#negative";"1";"2";"2";"defekt";"G";"defekte#2"
"ruhiger#positive";"1";"2";"2";"ruhig";"G";"ruhiger#2"
"verwohnt#negative";"1";"2";"2";"verwohnen";"V";"verwohnt#2"
"winzig#negative";"1";"2";"2";"winzig";"G";"winzig#2"
"löcher#negative";"1";"2";"2";"Loch";"N";"löcher#2"
"leckerem#positive";"1";"2";"2";"lecker";"G";"leckerem#2"
"abgewohntes#negative";"1";"2";"2";"abgewohntes";"O";"abgewohntes#2"
"traumhafte#strongpositive";"1";"2";"2";"Traumhafte";"G";"traumhafte#2"
"mehrsprachig#positive";"1";"2";"2";"mehrsprachig";"G";"mehrsprachig#2"
"harrknäuel#negative";"1";"1";"1";"Harrknäuel";"O";"harrknäuel#1"
"belebten#positive";"1";"1";"1";"belebt";"G";"belebten#1"
"minderwertigen#negative";"1";"1";"1";"minderwertig";"G";"minderwertigen#1"
"leckeres#positive";"1";"1";"1";"lecker";"G";"leckeres#1"
"ältliches#negative";"1";"1";"1";"ältlich";"G";"ältliches#1"
"zentrumsfern#negative";"1";"1";"1";"zentrumsfern";"O";"zentrumsfern#1"
"beleichtungstechnik#positive";"1";"1";"1";"Beleichtungstechnik";"O";"beleichtungstechnik#1"
"erstklassig#strongpositive";"1";"1";"1";"erstklassig";"G";"erstklassig#1"
"abwechselnde#positive";"1";"1";"1";"abwechselnd";"G";"abwechselnde#1"
"geflickt#negative";"1";"1";"1";"flicken";"V";"geflickt#1"
"instabil#negative";"1";"1";"1";"instabil";"G";"instabil#1"
"lippenstift#negative";"1";"1";"1";"Lippenstift";"N";"lippenstift#1"
"schließt#negative";"1";"1";"1";"schließen";"V";"schließt#1"
"zügig#positive";"1";"1";"1";"zügig";"G";"zügig#1"
"zebtrale#positive";"1";"1";"1";"zebtrale";"O";"zebtrale#1"
"ausgezeichnetes#strongpositive";"1";"1";"1";"ausgezeichnet";"G";"ausgezeichnetes#1"
"ess#positive";"1";"1";"1";"Ess";"O";"ess#1"
"wundervollem#strongpositive";"1";"1";"1";"wundervoll";"G";"wundervollem#1"
"kinderfreundliches#positive";"1";"1";"1";"kinderfreundlich";"G";"kinderfreundliches#1"
"ausgezeichnetem#strongpositive";"1";"1";"1";"ausgezeichnet";"G";"ausgezeichnetem#1"
"erholsame#positive";"1";"1";"1";"erholsam";"G";"erholsame#1"
"wasserflecken#negative";"1";"1";"1";"Wasserfleck";"N";"wasserflecken#1"
"mäßigen#negative";"1";"1";"1";"mäßig";"G";"mäßigen#1"
"herzliches#positive";"1";"1";"1";"herzlich";"G";"herzliches#1"
"abgelebte#negative";"1";"1";"1";"abgelebt";"G";"abgelebte#1"
"hilfsbereites#strongpositive";"1";"1";"1";"hilfsbereites";"O";"hilfsbereites#1"
"schmerzten#negative";"1";"1";"1";"schmerzen";"V";"schmerzten#1"
"eiskalt#strongnegative";"1";"1";"1";"eiskalt";"G";"eiskalt#1"
"liebenswürdiges#strongpositive";"1";"1";"1";"liebenswürdig";"G";"liebenswürdiges#1"
"permanenter#negative";"1";"1";"1";"permanent";"G";"permanenter#1"
"geräumiges#positive";"1";"1";"1";"geräumig";"G";"geräumiges#1"
"geschmackvollen#positive";"1";"1";"1";"geschmackvoll";"G";"geschmackvollen#1"
"superbequemen#strongpositive";"1";"1";"1";"superbequemen";"O";"superbequemen#1"
"vorzügliche#positive";"1";"1";"1";"vorzüglich";"G";"vorzügliche#1"
"brüchiger#negative";"1";"1";"1";"brüchig";"G";"brüchiger#1"
"abgegriffene#negative";"1";"1";"1";"abgegriffen";"G";"abgegriffene#1"
"imposante#strongpositive";"1";"1";"1";"imposant";"G";"imposante#1"
"fehlen#negative";"1";"1";"1";"Fehlen";"N";"fehlen#1"
"unpraktisch#negative";"1";"1";"1";"unpraktisch";"G";"unpraktisch#1"
"zugängigen#positive";"1";"1";"1";"zugängig";"G";"zugängigen#1"
