"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"diezimmer#Rooms";"1";"2";"2";"DieZimmer";"O";"diezimmer#2"
"servicepersonal#Staff";"1";"2";"2";"Servicepersonal";"N";"servicepersonal#2"
"gastgeber#Staff";"1";"2";"2";"Gastgeber";"N";"gastgeber#2"
"unterhaltung#unknown";"1";"2";"2";"Unterhaltung";"N";"unterhaltung#2"
"restauarnt#Restaurant";"1";"1";"1";"Restauarnt";"O";"restauarnt#1"
"eiswürfel#Facilities";"1";"1";"1";"Eiswürfel";"N";"eiswürfel#1"
"schalldämmung#Noisiness";"1";"1";"1";"Schalldämmung";"N";"schalldämmung#1"
"fahrstrecke#Location";"1";"1";"1";"Fahrstrecke";"N";"fahrstrecke#1"
"baumaßnahmen#unknown";"1";"1";"1";"Baumaßnahme";"N";"baumaßnahmen#1"
"schraube#Rooms";"1";"1";"1";"Schraube";"N";"schraube#1"
"gratiswein#unknown";"1";"1";"1";"Gratiswein";"N";"gratiswein#1"
"wasserhähne#Bathroom";"1";"1";"1";"Wasserhahn";"N";"wasserhähne#1"
"fassade#Interior/exterior";"1";"1";"1";"Fassade";"N";"fassade#1"
"schuhe#Facilities";"1";"1";"1";"Schuh";"N";"schuhe#1"
"kaffeehäuser#unknown";"1";"1";"1";"Kaffeehaus";"N";"kaffeehäuser#1"
"dachrinnen#unknown";"1";"1";"1";"Dachrinne";"N";"dachrinnen#1"
"fernsehen#Facilities";"1";"1";"1";"Fernsehen";"N";"fernsehen#1"
"hotelmanager#Staff";"1";"1";"1";"Hotelmanager";"N";"hotelmanager#1"
"kaltes#Restaurant";"1";"1";"1";"kalt";"G";"kaltes#1"
"duschbrause#Bathroom";"1";"1";"1";"Duschbrause";"O";"duschbrause#1"
"felsenstrand#Facilities";"1";"1";"1";"Felsenstrand";"O";"felsenstrand#1"
"aufgänge#Interior/exterior";"1";"1";"1";"Aufgang";"N";"aufgänge#1"
"hotelliegt#unknown";"1";"1";"1";"Hotelliegt";"O";"hotelliegt#1"
"pärchenurlaub#unknown";"1";"1";"1";"Pärchenurlaub";"O";"pärchenurlaub#1"
"seitenstrasse#Location";"1";"1";"1";"Seitenstraße";"N";"seitenstrasse#1"
"tag.gym#Facilities";"1";"1";"1";"Gym";"O";"tag.gym#1"
"saunalandschaft#Facilities";"1";"1";"1";"Saunalandschaft";"N";"saunalandschaft#1"
"zimmereinrichtung#Interior/exterior";"1";"1";"1";"Zimmereinrichtung";"N";"zimmereinrichtung#1"
"wasserspender#unknown";"1";"1";"1";"Wasserspender";"N";"wasserspender#1"
"bezugsbereit#Rooms";"1";"1";"1";"bezugsbereit";"G";"bezugsbereit#1"
"strandshuttle#Facilities";"1";"1";"1";"Strandshuttle";"O";"strandshuttle#1"
"professionaltät#Staff";"1";"1";"1";"Professionaltät";"O";"professionaltät#1"
"vinci#Location";"1";"1";"1";"Vinci";"R";"vinci#1"
"hundeklos#unknown";"1";"1";"1";"Hundeklo";"N";"hundeklos#1"
"zimmer.#unknown";"1";"1";"1";".";"O";"zimmer.#1"
"kulinarisch#Restaurant";"1";"1";"1";"kulinarisch";"G";"kulinarisch#1"
"bademäntel#Facilities";"1";"1";"1";"Bademäntel";"N";"bademäntel#1"
"peronal#Staff";"1";"1";"1";"Peronal";"O";"peronal#1"
"halbpemsion#unknown";"1";"1";"1";"Halbpemsion";"O";"halbpemsion#1"
"abhilfe#unknown";"1";"1";"1";"Abhilfe";"N";"abhilfe#1"
"laminatfußboden#Interior/exterior";"1";"1";"1";"Laminatfußboden";"O";"laminatfußboden#1"
