"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"skype#Internet";"1";"2";"2";"Skype";"R";"skype#2"
"sauna#Facilities";"1";"2";"2";"sauna";"N";"sauna#2"
"dogs#Facilities";"1";"2";"2";"dog";"N";"dogs#2"
"lift#Facilities";"1";"2";"2";"lift";"N";"lift#2"
"doors#Interior/exterior";"1";"2";"2";"door";"V";"doors#2"
"brandy#Restaurant";"1";"1";"1";"brandy";"N";"brandy#1"
"toilets#Bathroom";"1";"1";"1";"toilet";"N";"toilets#1"
"pubs#Location";"1";"1";"1";"pub";"N";"pubs#1"
"conncetion#Internet";"1";"1";"1";"conncetion";"N";"conncetion#1"
"heaters#Facilities";"1";"1";"1";"heater";"N";"heaters#1"
"fitnes#Facilities";"1";"1";"1";"fitnes";"N";"fitnes#1"
"acommodation#unknown";"1";"1";"1";"acommodation";"N";"acommodation#1"
"toaster#Facilities";"1";"1";"1";"toaster";"N";"toaster#1"
"mice#unknown";"1";"1";"1";"mouse";"N";"mice#1"
"appartement#unknown";"1";"1";"1";"appartement";"N";"appartement#1"
"тhis#unknown";"1";"1";"1";"тhis";"D";"тhis#1"
"elegance#unknown";"1";"1";"1";"elegance";"N";"elegance#1"
"cleaness#Cleanliness";"1";"1";"1";"cleaness";"N";"cleaness#1"
"phones#unknown";"1";"1";"1";"phone";"N";"phones#1"
"sentido#unknown";"1";"1";"1";"Sentido";"R";"sentido#1"
"foyer#Interior/exterior";"1";"1";"1";"foyer";"N";"foyer#1"
"products#Restaurant";"1";"1";"1";"product";"N";"products#1"
"decoration#Interior/exterior";"1";"1";"1";"decoration";"N";"decoration#1"
"vodka#Restaurant";"1";"1";"1";"Vodka";"R";"vodka#1"
"robe#Facilities";"1";"1";"1";"robe";"N";"robe#1"
"microwave#Facilities";"1";"1";"1";"microwave";"N";"microwave#1"
"cocktails#Facilities";"1";"1";"1";"cocktail";"N";"cocktails#1"
"ever.staff#Staff";"1";"1";"1";"ever.staff";"N";"ever.staff#1"
"colors#Rooms";"1";"1";"1";"color";"N";"colors#1"
"matress#Beds";"1";"1";"1";"Matress";"R";"matress#1"
"firdge#Facilities";"1";"1";"1";"firdge";"N";"firdge#1"
"winows#Rooms";"1";"1";"1";"winows";"N";"winows#1"
"room.staff#Staff";"1";"1";"1";"room.staff";"N";"room.staff#1"
"pub#Facilities";"1";"1";"1";"pub";"N";"pub#1"
"stares#unknown";"1";"1";"1";"stare";"N";"stares#1"
"grounds#Interior/exterior";"1";"1";"1";"ground";"N";"grounds#1"
"upgrades#Rooms";"1";"1";"1";"upgrade";"N";"upgrades#1"
"forks#Restaurant";"1";"1";"1";"fork";"V";"forks#1"
"buses#Transportation";"1";"1";"1";"bus";"N";"buses#1"
"thats#unknown";"1";"1";"1";"thats";"V";"thats#1"
"pillows#Beds";"1";"1";"1";"pillow";"N";"pillows#1"
"linens#Beds";"1";"1";"1";"linen";"N";"linens#1"
"toiletries#Bathroom";"1";"1";"1";"toiletry";"N";"toiletries#1"
".taxis#Transportation";"1";"1";"1";".Taxis";"R";".taxis#1"
"housekeeping#Cleanliness";"1";"1";"1";"housekeeping";"V";"housekeeping#1"
"wine#Restaurant";"1";"1";"1";"wine";"N";"wine#1"
"cabinet#Rooms";"1";"1";"1";"cabinet";"N";"cabinet#1"
"dishwasher#Facilities";"1";"1";"1";"dishwasher";"N";"dishwasher#1"
"aerobic.they#Staff";"1";"1";"1";"aerobic.They";"R";"aerobic.they#1"
"there.#unknown";"1";"1";"1";"there.";"A";"there.#1"
"fingerprints#unknown";"1";"1";"1";"fingerprint";"N";"fingerprints#1"
"pipes#Bathroom";"1";"1";"1";"pipe";"N";"pipes#1"
"unpleasantness#unknown";"1";"1";"1";"unpleasantness";"N";"unpleasantness#1"
"opportunitys#Facilities";"1";"1";"1";"opportunitys";"N";"opportunitys#1"
"employes#Staff";"1";"1";"1";"employes";"N";"employes#1"
"bathrobes#Bathroom";"1";"1";"1";"bathrobes";"N";"bathrobes#1"
"performance#Staff";"1";"1";"1";"performance";"N";"performance#1"
"emails#unknown";"1";"1";"1";"email";"N";"emails#1"
"odor#Cleanliness";"1";"1";"1";"odor";"N";"odor#1"
"cocktails.#Facilities";"1";"1";"1";"cocktails.";"N";"cocktails.#1"
"wellness#Staff";"1";"1";"1";"wellness";"N";"wellness#1"
"facility#Facilities";"1";"1";"1";"facility";"N";"facility#1"
"acoustic#Noisiness";"1";"1";"1";"acoustic";"G";"acoustic#1"
"supervicion#Staff";"1";"1";"1";"supervicion";"N";"supervicion#1"
"sausages#Breakfast";"1";"1";"1";"sausage";"N";"sausages#1"
"interenet#Internet";"1";"1";"1";"interenet";"N";"interenet#1"
"carpets#Interior/exterior";"1";"1";"1";"carpet";"N";"carpets#1"
"mexican#Restaurant";"1";"1";"1";"mexican";"G";"mexican#1"
"programme#Facilities";"1";"1";"1";"programme";"N";"programme#1"
"style.#Interior/exterior";"1";"1";"1";"style.";"N";"style.#1"
"croissants#Breakfast";"1";"1";"1";"croissant";"N";"croissants#1"
"oriental#Restaurant";"1";"1";"1";"oriental";"G";"oriental#1"
"bathtub#Bathroom";"1";"1";"1";"bathtub";"N";"bathtub#1"
"hamam#Facilities";"1";"1";"1";"hamam";"N";"hamam#1"
"ceiling#Interior/exterior";"1";"1";"1";"ceiling";"N";"ceiling#1"
"whisky#Restaurant";"1";"1";"1";"whisky";"G";"whisky#1"
"tournaments#Facilities";"1";"1";"1";"tournament";"N";"tournaments#1"
"desk.#Facilities";"1";"1";"1";"desk.";"N";"desk.#1"
"bedding#Beds";"1";"1";"1";"bedding";"N";"bedding#1"
"commode#Rooms";"1";"1";"1";"commode";"N";"commode#1"
"moquette#Interior/exterior";"1";"1";"1";"moquette";"N";"moquette#1"
"mashrooms#Breakfast";"1";"1";"1";"mashrooms";"N";"mashrooms#1"
"clubs#Location";"1";"1";"1";"club";"N";"clubs#1"
"suroundings#Interior/exterior";"1";"1";"1";"suroundings";"N";"suroundings#1"
"sunbeds#Facilities";"1";"1";"1";"sunbed";"N";"sunbeds#1"
"checkin#Reservation/check-in/check-out";"1";"1";"1";"Checkin";"R";"checkin#1"
"minibus#Transportation";"1";"1";"1";"Minibus";"R";"minibus#1"
"rum#Restaurant";"1";"1";"1";"rum";"N";"rum#1"
"maxxiland#unknown";"1";"1";"1";"maxxiland";"N";"maxxiland#1"
"curtains#Interior/exterior";"1";"1";"1";"curtain";"N";"curtains#1"
"requests#unknown";"1";"1";"1";"request";"N";"requests#1"
"tele#Facilities";"1";"1";"1";"Tele";"R";"tele#1"
"knifes#Restaurant";"1";"1";"1";"knifes";"N";"knifes#1"
"hotel#unknown";"0";"100";"429";"hotel";"N";"hotel#430"
"it#unknown";"0";"88";"203";"it";"Q";"it#203"
"staff#Staff";"0";"50";"122";"staff";"N";"staff#122"
"location#Location";"0";"49";"85";"location";"N";"location#85"
"breakfast#Breakfast";"0";"35";"75";"breakfast";"N";"breakfast#75"
"food#Restaurant";"0";"28";"73";"food";"N";"food#73"
"room#Rooms";"0";"28";"185";"room";"N";"room#185"
"rooms#Rooms";"0";"27";"80";"room";"N";"rooms#80"
"service#Staff";"0";"19";"48";"service";"N";"service#48"
"bathroom#Bathroom";"0";"14";"33";"bathroom";"N";"bathroom#33"
"there#unknown";"0";"12";"147";"there";"A";"there#147"
"bed#Beds";"0";"11";"30";"bed";"N";"bed#30"
"place#Location";"0";"10";"46";"place";"N";"place#46"
"they#unknown";"0";"9";"51";"they";"Q";"they#51"
"this#unknown";"0";"8";"158";"this";"D";"this#158"
