"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"encantó#strongpositive";"1";"8";"8";"encantó";"V";"encantó#8"
"fantástico#strongpositive";"1";"6";"6";"fantástico";"N";"fantástico#6"
"perfectas#strongpositive";"1";"6";"6";"perfectas";"V";"perfectas#6"
"excepcional#strongpositive";"1";"5";"5";"excepcional";"G";"excepcional#5"
"impresionantes#strongpositive";"1";"4";"4";"impresionantes";"O";"impresionantes#4"
"impecable#strongpositive";"1";"4";"4";"impecable";"G";"impecable#4"
"magnífica#strongpositive";"1";"4";"4";"magnífica";"N";"magnífica#4"
"formidable#strongpositive";"1";"3";"3";"formidable";"G";"formidable#3"
"fantastico#strongpositive";"1";"3";"3";"fantastico";"R";"fantastico#3"
"lamentable#strongnegative";"1";"3";"3";"lamentable";"G";"lamentable#3"
"estupendas#strongpositive";"1";"3";"3";"estupendas";"N";"estupendas#3"
"simpaticos#positive";"1";"3";"3";"simpaticos";"N";"simpaticos#3"
"eficaz#positive";"1";"2";"2";"eficaz";"N";"eficaz#2"
"cobraban#negative";"1";"2";"2";"Cobraban";"R";"cobraban#2"
"desagradable#negative";"1";"2";"2";"desagradable";"G";"desagradable#2"
"alegre#positive";"1";"2";"2";"alegre";"N";"alegre#2"
"pésimo#strongnegative";"1";"2";"2";"Pésimo";"R";"pésimo#2"
"maravillosas#strongpositive";"1";"2";"2";"maravillosas";"N";"maravillosas#2"
"descubierta#positive";"1";"2";"2";"descubierta";"N";"descubierta#2"
"carísimo#strongnegative";"1";"2";"2";"carísimo";"N";"carísimo#2"
"magnífico#strongpositive";"1";"2";"2";"magnífico";"G";"magnífico#2"
"profesional#positive";"1";"2";"2";"profesional";"G";"profesional#2"
"funcionales#positive";"1";"2";"2";"funcionales";"N";"funcionales#2"
"normalito#negative";"1";"2";"2";"normalito";"P";"normalito#2"
"escasa#negative";"1";"2";"2";"escasa";"R";"escasa#2"
"regalaron#positive";"1";"2";"2";"regalaron";"A";"regalaron#2"
"silenciosas#positive";"1";"2";"2";"silenciosas";"N";"silenciosas#2"
"barata#positive";"1";"2";"2";"barata";"N";"barata#2"
"bordes#negative";"1";"2";"2";"bordes";"N";"bordes#2"
"magníficas#strongpositive";"1";"2";"2";"magníficas";"O";"magníficas#2"
"buenisimo#strongpositive";"1";"2";"2";"buenisimo";"N";"buenisimo#2"
"24h#positive";"1";"2";"2";"24h";"O";"24h#2"
"ordenada#positive";"1";"2";"2";"ordenada";"N";"ordenada#2"
"gratuitos#positive";"1";"2";"2";"gratuitos";"N";"gratuitos#2"
"eficiente#positive";"1";"2";"2";"eficiente";"N";"eficiente#2"
"hermosos#positive";"1";"2";"2";"hermosos";"Q";"hermosos#2"
"preciosos#positive";"1";"2";"2";"preciosos";"N";"preciosos#2"
"increíble#strongpositive";"1";"2";"2";"increíble";"G";"increíble#2"
"enana#strongnegative";"1";"2";"2";"enana";"N";"enana#2"
"rescato#positive";"1";"2";"2";"rescato";"O";"rescato#2"
"divinos#strongpositive";"1";"2";"2";"divinos";"N";"divinos#2"
"agradables#positive";"1";"2";"2";"agradables";"N";"agradables#2"
"horrible#strongnegative";"1";"2";"2";"horrible";"G";"horrible#2"
"normalita#negative";"1";"2";"2";"normalita";"O";"normalita#2"
"formidables#strongpositive";"1";"2";"2";"formidables";"N";"formidables#2"
"increïbles#strongpositive";"1";"2";"2";"increïbles";"V";"increïbles#2"
"estrechas#negative";"1";"2";"2";"estrechas";"V";"estrechas#2"
"placentero#positive";"1";"2";"2";"placentero";"N";"placentero#2"
"anticuados#negative";"1";"1";"1";"anticuados";"N";"anticuados#1"
"estrechisimas#strongnegative";"1";"1";"1";"estrechisimas";"N";"estrechisimas#1"
"repetible#positive";"1";"1";"1";"repetible";"G";"repetible#1"
"finalizando#positive";"1";"1";"1";"Finalizando";"R";"finalizando#1"
"incomodas#negative";"1";"1";"1";"incomodas";"N";"incomodas#1"
"riquisimo#strongpositive";"1";"1";"1";"riquisimo";"G";"riquisimo#1"
"predispuestos.es#positive";"1";"1";"1";"predispuestos.es";"V";"predispuestos.es#1"
"espléndido#strongpositive";"1";"1";"1";"espléndido";"N";"espléndido#1"
"positivos#positive";"1";"1";"1";"positivos";"N";"positivos#1"
"ostentoso#strongpositive";"1";"1";"1";"ostentoso";"N";"ostentoso#1"
"estafaron#negative";"1";"1";"1";"estafaron";"N";"estafaron#1"
"simpáticos#positive";"1";"1";"1";"simpáticos";"N";"simpáticos#1"
"estupendos#strongpositive";"1";"1";"1";"estupendos";"N";"estupendos#1"
"respetuoso#positive";"1";"1";"1";"respetuoso";"N";"respetuoso#1"
"regresaremos#positive";"1";"1";"1";"Regresaremos";"R";"regresaremos#1"
"inútil#negative";"1";"1";"1";"Inútil";"R";"inútil#1"
"recomendaremos#positive";"1";"1";"1";"recomendaremos";"N";"recomendaremos#1"
"agradable.tiene#positive";"1";"1";"1";"agradable.Tiene";"R";"agradable.tiene#1"
"nefasta#strongnegative";"1";"1";"1";"nefasta";"N";"nefasta#1"
"espantoso#strongnegative";"1";"1";"1";"espantoso";"A";"espantoso#1"
"grosero#negative";"1";"1";"1";"grosero";"G";"grosero#1"
"practico#positive";"1";"1";"1";"Practico";"R";"practico#1"
"fascinados#strongpositive";"1";"1";"1";"fascinados";"N";"fascinados#1"
"pesimo#strongnegative";"1";"1";"1";"pesimo";"O";"pesimo#1"
"tenes#positive";"1";"1";"1";"tenes";"N";"tenes#1"
"placenteros#positive";"1";"1";"1";"placenteros";"N";"placenteros#1"
"estropeado#negative";"1";"1";"1";"estropeado";"O";"estropeado#1"
"pésima#strongnegative";"1";"1";"1";"pésima";"G";"pésima#1"
"comodisima#strongpositive";"1";"1";"1";"COMODISIMA";"R";"comodisima#1"
"pretensioso#negative";"1";"1";"1";"pretensioso";"A";"pretensioso#1"
"acojedora#positive";"1";"1";"1";"acojedora";"N";"acojedora#1"
"eléctricas#positive";"1";"1";"1";"eléctricas";"N";"eléctricas#1"
"encantada#strongpositive";"1";"1";"1";"encantada";"O";"encantada#1"
"fenomenal.#strongpositive";"1";"1";"1";"fenomenal.";"N";"fenomenal.#1"
"proxima#positive";"1";"1";"1";"proxima";"N";"proxima#1"
"enconte#positive";"1";"1";"1";"enconte";"V";"enconte#1"
"laberíntico#negative";"1";"1";"1";"Laberíntico";"R";"laberíntico#1"
"andando.hotel#positive";"1";"1";"1";"andando.Hotel";"R";"andando.hotel#1"
"incluçia#positive";"1";"1";"1";"Incluçia";"R";"incluçia#1"
