"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"discotecas.#Location";"1";"2";"2";"discotecas.";"O";"discotecas.#2"
"minicadena#Facilities";"1";"2";"2";"minicadena";"N";"minicadena#2"
"chuecas#Location";"1";"2";"2";"chuecas";"V";"chuecas#2"
"supermercados#Location";"1";"2";"2";"supermercados";"N";"supermercados#2"
"buses#Transportation";"1";"2";"2";"bus";"N";"buses#2"
"bayside#Location";"1";"2";"2";"bayside";"O";"bayside#2"
"bolleria#Breakfast";"1";"2";"2";"bolleria";"O";"bolleria#2"
"garage#Car parking";"1";"1";"1";"garage";"N";"garage#1"
"rooms#Rooms";"1";"1";"1";"room";"N";"rooms#1"
"mermeladas#Breakfast";"1";"1";"1";"mermeladas";"V";"mermeladas#1"
"sofas#Facilities";"1";"1";"1";"sofas";"O";"sofas#1"
"cristalera#Restaurant";"1";"1";"1";"cristalera";"N";"cristalera#1"
"españa.habitaciones#Rooms";"1";"1";"1";"españa.habitaciones";"O";"españa.habitaciones#1"
"entretenimiento#unknown";"1";"1";"1";"entretenimiento";"N";"entretenimiento#1"
"tdo#unknown";"1";"1";"1";"tdo";"N";"tdo#1"
"gastronoma#unknown";"1";"1";"1";"gastronoma";"N";"gastronoma#1"
"bicicletas#Facilities";"1";"1";"1";"bicicletas";"N";"bicicletas#1"
"mimos#unknown";"1";"1";"1";"mimos";"N";"mimos#1"
"mercadillo#Location";"1";"1";"1";"mercadillo";"O";"mercadillo#1"
"huevos#Breakfast";"1";"1";"1";"huevos";"N";"huevos#1"
"suermercados#Location";"1";"1";"1";"Suermercados";"R";"suermercados#1"
"billares#Facilities";"1";"1";"1";"billares";"N";"billares#1"
"queja#unknown";"1";"1";"1";"queja";"O";"queja#1"
"pulgas#Cleanliness";"1";"1";"1";"PULGAS";"R";"pulgas#1"
"cereales#Breakfast";"1";"1";"1";"cereales";"N";"cereales#1"
"quesao#Breakfast";"1";"1";"1";"quesao";"N";"quesao#1"
"capricho.zona#Location";"1";"1";"1";"capricho.zona";"O";"capricho.zona#1"
"iluminosidad#unknown";"1";"1";"1";"iluminosidad";"O";"iluminosidad#1"
"metrorail#Transportation";"1";"1";"1";"Metrorail";"R";"metrorail#1"
"retrete#Bathroom";"1";"1";"1";"retrete";"N";"retrete#1"
"panuelos#Facilities";"1";"1";"1";"panuelos";"N";"panuelos#1"
"tartas#Breakfast";"1";"1";"1";"tartas";"N";"tartas#1"
"tranvías#Transportation";"1";"1";"1";"tranvías";"N";"tranvías#1"
"friobar#Facilities";"1";"1";"1";"friobar";"N";"friobar#1"
"cibeles#Location";"1";"1";"1";"Cibeles";"R";"cibeles#1"
"disculpas#unknown";"1";"1";"1";"disculpas";"V";"disculpas#1"
"peluquería#Facilities";"1";"1";"1";"peluquería";"O";"peluquería#1"
"carreteras#Transportation";"1";"1";"1";"carreteras";"N";"carreteras#1"
"travelplan#unknown";"1";"1";"1";"travelplan";"N";"travelplan#1"
"atencio#Staff";"1";"1";"1";"atencio";"N";"atencio#1"
"rio#Location";"1";"1";"1";"rio";"N";"rio#1"
"parques#Location";"1";"1";"1";"parques";"V";"parques#1"
"orquesta#Facilities";"1";"1";"1";"orquesta";"N";"orquesta#1"
"bidet#Bathroom";"1";"1";"1";"bidet";"N";"bidet#1"
"halcon#unknown";"1";"1";"1";"halcon";"N";"halcon#1"
"coliseo#Location";"1";"1";"1";"coliseo";"N";"coliseo#1"
"brares#Location";"1";"1";"1";"brares";"V";"brares#1"
"frigorifico#Facilities";"1";"1";"1";"frigorifico";"G";"frigorifico#1"
"cultura#unknown";"1";"1";"1";"cultura";"N";"cultura#1"
"canapés#unknown";"1";"1";"1";"canapés";"N";"canapés#1"
"bacon#Breakfast";"1";"1";"1";"bacon";"N";"bacon#1"
"presencia#unknown";"1";"1";"1";"presencia";"N";"presencia#1"
"instalaciones.el#Facilities";"1";"1";"1";"instalaciones.El";"R";"instalaciones.el#1"
"dimensiones#Rooms";"1";"1";"1";"dimensiones";"V";"dimensiones#1"
"brasaletes#unknown";"1";"1";"1";"brasaletes";"V";"brasaletes#1"
"trato.#Staff";"1";"1";"1";"trato.";"N";"trato.#1"
"shushi#Breakfast";"1";"1";"1";"shushi";"N";"shushi#1"
"centrale#Location";"1";"1";"1";"Centrale";"R";"centrale#1"
"hall#Interior/exterior";"1";"1";"1";"hall";"N";"hall#1"
"ofertas#unknown";"1";"1";"1";"ofertas";"O";"ofertas#1"
"reclamar#Reservation/check-in/check-out";"1";"1";"1";"reclamar";"N";"reclamar#1"
"recibimiento#Reservation/check-in/check-out";"1";"1";"1";"recibimiento";"N";"recibimiento#1"
"velocidad#Internet";"1";"1";"1";"velocidad";"O";"velocidad#1"
"barandillas#Interior/exterior";"1";"1";"1";"barandillas";"O";"barandillas#1"
"pistas#Location";"1";"1";"1";"pistas";"N";"pistas#1"
"iluminaciñon#unknown";"1";"1";"1";"iluminaciñon";"N";"iluminaciñon#1"
"estética#Facilities";"1";"1";"1";"estética";"N";"estética#1"
"terraza.#Facilities";"1";"1";"1";"terraza.";"N";"terraza.#1"
"atardeceres#unknown";"1";"1";"1";"atardeceres";"N";"atardeceres#1"
"transportes#Transportation";"1";"1";"1";"transportes";"V";"transportes#1"
"futbolines#Facilities";"1";"1";"1";"futbolines";"N";"futbolines#1"
"neptuno#Location";"1";"1";"1";"Neptuno";"R";"neptuno#1"
"confiterías#Location";"1";"1";"1";"confiterías";"N";"confiterías#1"
"forum#Location";"1";"1";"1";"Forum";"R";"forum#1"
"insonorizado#Noisiness";"1";"1";"1";"insonorizado";"A";"insonorizado#1"
"jamón#Breakfast";"1";"1";"1";"jamón";"N";"jamón#1"
"destroyers#unknown";"1";"1";"1";"destroyer";"N";"destroyers#1"
"privacidad#unknown";"1";"1";"1";"privacidad";"G";"privacidad#1"
"menaje#Facilities";"1";"1";"1";"menaje";"G";"menaje#1"
"batas#Facilities";"1";"1";"1";"batas";"N";"batas#1"
"prensa#unknown";"1";"1";"1";"prensa";"O";"prensa#1"
"miinibar#Facilities";"1";"1";"1";"miinibar";"N";"miinibar#1"
"plato#Bathroom";"1";"1";"1";"plato";"N";"plato#1"
"fumigaban#Cleanliness";"1";"1";"1";"fumigaban";"N";"fumigaban#1"
"glories#Location";"1";"1";"1";"glory";"N";"glories#1"
"revuelto#Breakfast";"1";"1";"1";"revuelto";"N";"revuelto#1"
"baile#Facilities";"1";"1";"1";"baile";"N";"baile#1"
"detallitos#Facilities";"1";"1";"1";"detallitos";"O";"detallitos#1"
"iluminado#unknown";"1";"1";"1";"iluminado";"N";"iluminado#1"
"hidroterapia#Facilities";"1";"1";"1";"hidroterapia";"N";"hidroterapia#1"
"pasteles#Breakfast";"1";"1";"1";"pasteles";"N";"pasteles#1"
"vacasiones#unknown";"1";"1";"1";"vacasiones";"N";"vacasiones#1"
"atractivo#Interior/exterior";"1";"1";"1";"atractivo";"P";"atractivo#1"
"hotel#unknown";"0";"122";"646";"hotel";"N";"hotel#647"
"lo#unknown";"0";"55";"309";"lo";"G";"lo#309"
"todo#unknown";"0";"52";"193";"todo";"N";"todo#193"
"personal#Staff";"0";"26";"135";"personal";"G";"personal#135"
"habitaciones#Rooms";"0";"23";"142";"habitaciones";"N";"habitaciones#142"
"centro#Location";"0";"19";"95";"centro";"N";"centro#95"
"spa#Facilities";"0";"17";"67";"spa";"R";"spa#67"
"minibar#Facilities";"0";"15";"29";"minibar";"N";"minibar#29"
"estancia#unknown";"0";"14";"63";"estancia";"N";"estancia#63"
"servicio#Staff";"0";"14";"85";"servicio";"N";"servicio#85"
"limpieza#Cleanliness";"0";"13";"41";"limpieza";"N";"limpieza#41"
"precio#Value-for-money";"0";"12";"79";"precio";"N";"precio#79"
"metro#Transportation";"0";"11";"55";"metro";"N";"metro#55"
"calidad#unknown";"0";"11";"74";"calidad";"R";"calidad#74"
"baño#Bathroom";"0";"11";"47";"baño";"N";"baño#47"
"comida#Restaurant";"0";"11";"51";"comida";"N";"comida#51"
"trato#Staff";"0";"11";"60";"trato";"N";"trato#60"
"desayuno#Breakfast";"0";"10";"100";"desayuno";"N";"desayuno#100"
"habitación#Rooms";"0";"10";"119";"habitación";"N";"habitación#119"
"ubicación#Location";"0";"9";"51";"ubicación";"N";"ubicación#51"
"vacaciones#unknown";"0";"9";"28";"vacaciones";"N";"vacaciones#28"
"cafetera#Facilities";"0";"8";"14";"cafetera";"N";"cafetera#14"
"wifi#Internet";"0";"8";"24";"wifi";"R";"wifi#24"
"restaurantes#Location";"0";"8";"32";"restaurantes";"V";"restaurantes#32"
"atención#Staff";"0";"7";"27";"atención";"N";"atención#27"
"ambiente#unknown";"0";"7";"13";"ambiente";"G";"ambiente#13"
"piscina#Swimming pool";"0";"7";"46";"piscina";"N";"piscina#46"
"servicios#Facilities";"0";"7";"23";"servicios";"N";"servicios#23"
"sitio#unknown";"0";"7";"18";"sitio";"N";"sitio#18"
"parking#Car parking";"0";"6";"14";"parking";"N";"parking#14"
"bares#Location";"0";"6";"17";"bares";"N";"bares#17"
"ubicación#unknown";"0";"6";"51";"ubicación";"N";"ubicación#51"
"situación#Location";"0";"6";"24";"situación";"N";"situación#24"
"camas#Beds";"0";"5";"26";"camas";"N";"camas#26"
"opción#unknown";"0";"5";"9";"opción";"N";"opción#9"
"este#unknown";"0";"5";"134";"este";"N";"este#134"
"vistas#Interior/exterior";"0";"5";"39";"vista";"N";"vistas#39"
"tiendas#Location";"0";"5";"15";"tiendas";"N";"tiendas#15"
"instalaciones#Interior/exterior";"0";"5";"42";"instalaciones";"N";"instalaciones#42"
"algo#unknown";"0";"5";"50";"algo";"A";"algo#50"
"plancha#Facilities";"0";"5";"8";"plancha";"N";"plancha#8"
"lugar#unknown";"0";"5";"42";"lugar";"N";"lugar#42"
"piscinas#Swimming pool";"0";"4";"8";"piscinas";"N";"piscinas#8"
"elección#unknown";"0";"4";"6";"elección";"N";"elección#6"
"atencion#Staff";"0";"4";"10";"atencion";"N";"atencion#10"
"apartamentos#unknown";"0";"4";"18";"apartamentos";"N";"apartamentos#18"
"teatros#Location";"0";"4";"10";"teatros";"N";"teatros#10"
"cines#Location";"0";"4";"6";"cines";"N";"cines#6"
"zona#Location";"0";"4";"73";"zona";"R";"zona#73"
"detalles#unknown";"0";"4";"18";"detalles";"N";"detalles#18"
"precios#Value-for-money";"0";"4";"9";"precios";"N";"precios#9"
"instalaciones#Facilities";"0";"4";"42";"instalaciones";"N";"instalaciones#42"
"cama#Beds";"0";"4";"38";"cama";"N";"cama#38"
"ruido#Noisiness";"0";"4";"16";"ruido";"V";"ruido#16"
"desayunos#Breakfast";"0";"3";"11";"desayunos";"N";"desayunos#11"
"duomo#Location";"0";"3";"6";"duomo";"R";"duomo#6"
"servicios#Staff";"0";"3";"23";"servicios";"N";"servicios#23"
"nada#unknown";"0";"3";"60";"nada";"R";"nada#60"
"bar#Facilities";"0";"3";"21";"bar";"N";"bar#21"
"situado#Location";"0";"3";"65";"situado";"N";"situado#65"
"lugar#Location";"0";"3";"42";"lugar";"N";"lugar#42"
"mantenimiento#unknown";"0";"3";"6";"mantenimiento";"P";"mantenimiento#6"
"armario#Rooms";"0";"3";"8";"armario";"N";"armario#8"
"la#unknown";"0";"3";"1113";"la";"R";"la#1114"
"playa#Location";"0";"3";"79";"playa";"N";"playa#79"
"jardines#Facilities";"0";"3";"6";"jardines";"N";"jardines#6"
"recepción#Reservation/check-in/check-out";"0";"3";"47";"recepción";"N";"recepción#47"
"localización#Location";"0";"3";"8";"localización";"N";"localización#8"
"actividades#Facilities";"0";"3";"9";"actividades";"N";"actividades#9"
"recepción#Staff";"0";"3";"47";"recepción";"N";"recepción#47"
"cocina#Facilities";"0";"3";"7";"cocina";"N";"cocina#7"
"almohadas#Beds";"0";"3";"8";"almohadas";"A";"almohadas#8"
"museos#Location";"0";"2";"3";"Museos";"R";"museos#3"
"restaurante#Location";"0";"2";"22";"restaurante";"N";"restaurante#22"
"sol#Location";"0";"2";"20";"Sol";"R";"sol#20"
"baños#Bathroom";"0";"2";"7";"baños";"N";"baños#7"
"ubicacion#unknown";"0";"2";"7";"ubicacion";"N";"ubicacion#7"
"ubicacion#Location";"0";"2";"7";"ubicacion";"N";"ubicacion#7"
"ruidos#Noisiness";"0";"2";"7";"ruidos";"N";"ruidos#7"
"wifi#Facilities";"0";"2";"24";"wifi";"R";"wifi#24"
"los#unknown";"0";"2";"274";"los";"N";"los#274"
"vistas#unknown";"0";"2";"39";"vista";"N";"vistas#39"
"gimnasio#Facilities";"0";"2";"3";"gimnasio";"N";"gimnasio#3"
"combinación#unknown";"0";"2";"3";"combinación";"N";"combinación#3"
