"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"clientelle#unknown";"1";"1";"1";"clientelle";"G";"clientelle#1"
"tissu#Beds";"1";"1";"1";"tissu";"N";"tissu#1"
"animation.equipe#Facilities";"1";"1";"1";"animation.equipe";"G";"animation.equipe#1"
"pièces#Rooms";"1";"1";"1";"pièce";"N";"pièces#1"
"sevice#Staff";"1";"1";"1";"sevice";"N";"sevice#1"
".hôtel#Location";"1";"1";"1";".Hôtel";"G";".hôtel#1"
"aceuil#Reservation/check-in/check-out";"1";"1";"1";"aceuil";"N";"aceuil#1"
"anna#Staff";"1";"1";"1";"Anna";"N";"anna#1"
".sanitaires#Bathroom";"1";"1";"1";".Sanitaires";"P";".sanitaires#1"
"tobogant#Swimming pool";"1";"1";"1";"tobogant";"V";"tobogant#1"
"iberostars#Interior/exterior";"1";"1";"1";"Iberostars";"N";"iberostars#1"
"parasols#Swimming pool";"1";"1";"1";"parasol";"N";"parasols#1"
"shows#unknown";"1";"1";"1";"show";"N";"shows#1"
"lumières#unknown";"1";"1";"1";"lumière";"N";"lumières#1"
"responsable#Staff";"1";"1";"1";"responsable";"N";"responsable#1"
"restau#Restaurant";"1";"1";"1";"restau";"O";"restau#1"
"wiffi#Internet";"1";"1";"1";"wiffi";"G";"wiffi#1"
"tonic#unknown";"1";"1";"1";"tonic";"N";"tonic#1"
"superettes#unknown";"1";"1";"1";"Superettes";"N";"superettes#1"
"serveuse#Staff";"1";"1";"1";"serveur";"N";"serveuse#1"
"pantaglisse#Swimming pool";"1";"1";"1";"pantaglisse";"N";"pantaglisse#1"
"téléviseur#Facilities";"1";"1";"1";"téléviseur";"N";"téléviseur#1"
"placards#unknown";"1";"1";"1";"placard";"N";"placards#1"
"climatisations#Facilities";"1";"1";"1";"climatisation";"N";"climatisations#1"
"restauration.#Restaurant";"1";"1";"1";"restauration.";"N";"restauration.#1"
"oreillers#Rooms";"1";"1";"1";"oreillers";"G";"oreillers#1"
"disco#unknown";"1";"1";"1";"disco";"N";"disco#1"
"food.piscine#Swimming pool";"1";"1";"1";"Food.Piscine";"N";"food.piscine#1"
"food#Restaurant";"1";"1";"1";"food";"V";"food#1"
"matériels#Facilities";"1";"1";"1";"matériel";"N";"matériels#1"
"stationnement#Car parking";"1";"1";"1";"stationnement";"N";"stationnement#1"
"camping.spectacles#Location";"1";"1";"1";"camping.Spectacles";"N";"camping.spectacles#1"
"hygiene#unknown";"1";"1";"1";"hygiene";"G";"hygiene#1"
".boissons#unknown";"1";"1";"1";".Boissons";"P";".boissons#1"
"brunch#Breakfast";"1";"1";"1";"brunch";"G";"brunch#1"
"eclairage#unknown";"1";"1";"1";"eclairage";"V";"eclairage#1"
"accueil.le#Reservation/check-in/check-out";"1";"1";"1";"accueil.Le";"N";"accueil.le#1"
"usure#unknown";"1";"1";"1";"usure";"V";"usure#1"
"picine.#Swimming pool";"1";"1";"1";"picine.";"N";"picine.#1"
"marco#Staff";"1";"1";"1";"Marco";"N";"marco#1"
"encas.sanitaires#unknown";"1";"1";"1";"encas.sanitaires";"N";"encas.sanitaires#1"
"installations#unknown";"1";"1";"1";"installation";"N";"installations#1"
"representatives#Staff";"1";"1";"1";"Representatives";"N";"representatives#1"
"raclette#unknown";"1";"1";"1";"raclette";"N";"raclette#1"
"desserts#unknown";"1";"1";"1";"dessert";"N";"desserts#1"
"balançoire#unknown";"1";"1";"1";"balançoire";"N";"balançoire#1"
"ordi#Facilities";"1";"1";"1";"ordi";"N";"ordi#1"
".supermarché#Interior/exterior";"1";"1";"1";".Supermarché";"N";".supermarché#1"
"barman#Staff";"1";"1";"1";"barman";"N";"barman#1"
"hygiène.ceci#Cleanliness";"1";"1";"1";"hygiène.Ceci";"G";"hygiène.ceci#1"
"lieux.#unknown";"1";"1";"1";"lieux.";"D";"lieux.#1"
"inscriptions#Reservation/check-in/check-out";"1";"1";"1";"inscription";"N";"inscriptions#1"
"lobby#Reservation/check-in/check-out";"1";"1";"1";"lobby";"N";"lobby#1"
"ludivine#Staff";"1";"1";"1";"ludivine";"N";"ludivine#1"
"supérette#unknown";"1";"1";"1";"supérette";"V";"supérette#1"
"imprimante#Facilities";"1";"1";"1";"imprimant";"G";"imprimante#1"
"clown#unknown";"1";"1";"1";"clown";"N";"clown#1"
"hilton#Location";"1";"1";"1";"Hilton";"G";"hilton#1"
"environs.chambres#Rooms";"1";"1";"1";"environs.chambres";"D";"environs.chambres#1"
"reception#Staff";"1";"1";"1";"Reception";"N";"reception#1"
"piscine.#Swimming pool";"1";"1";"1";"piscine.";"P";"piscine.#1"
"suppléments#unknown";"1";"1";"1";"suppléments";"G";"suppléments#1"
"sécuriter#unknown";"1";"1";"1";"sécuriter";"V";"sécuriter#1"
"boulangeries#unknown";"1";"1";"1";"boulangerie";"N";"boulangeries#1"
"excalibur#Interior/exterior";"1";"1";"1";"Excalibur";"N";"excalibur#1"
