"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"competente#positive";"1";"6";"6";"competente";"A";"competente#6"
"comode#positive";"1";"4";"4";"comodo";"G";"comode#4"
"splendido#strongpositive";"1";"4";"4";"splendido";"G";"splendido#4"
"sorridente#positive";"1";"4";"4";"sorridere";"V";"sorridente#4"
"vecchi#negative";"1";"4";"4";"vecchio";"G";"vecchi#4"
"comodissime#strongpositive";"1";"3";"3";"comodissime";"G";"comodissime#3"
"eccellenti#strongpositive";"1";"3";"3";"eccellere";"V";"eccellenti#3"
"ampi#positive";"1";"3";"3";"ampio";"G";"ampi#3"
"moderno#positive";"1";"3";"3";"moderno";"N";"moderno#3"
"funzionali#positive";"1";"3";"3";"funzionale";"G";"funzionali#3"
"silenziosa#positive";"1";"3";"3";"silenzioso";"G";"silenziosa#3"
"comodissimo#strongpositive";"1";"3";"3";"comodissimo";"G";"comodissimo#3"
"carina#positive";"1";"3";"3";"carino";"G";"carina#3"
"pulitissimi#strongpositive";"1";"3";"3";"pulitissimi";"G";"pulitissimi#3"
"corretto#positive";"1";"2";"2";"correggere";"V";"corretto#2"
"accurato#positive";"1";"2";"2";"accurato";"G";"accurato#2"
"avvolgente#positive";"1";"2";"2";"avvolgere";"V";"avvolgente#2"
"freddi#negative";"1";"2";"2";"freddo";"G";"freddi#2"
"troppa#negative";"1";"2";"2";"troppo";"G";"troppa#2"
"curati#positive";"1";"2";"2";"curare";"N";"curati#2"
"free#positive";"1";"2";"2";"free";"G";"free#2"
"premuroso#positive";"1";"2";"2";"premuroso";"G";"premuroso#2"
"ricchissima#strongpositive";"1";"2";"2";"ricchissima";"G";"ricchissima#2"
"eleganti#positive";"1";"2";"2";"elegante";"G";"eleganti#2"
"variegata#positive";"1";"2";"2";"variegata";"V";"variegata#2"
"triste#negative";"1";"2";"2";"triste";"G";"triste#2"
"socievole#positive";"1";"2";"2";"socievole";"G";"socievole#2"
"rapidissimo#strongpositive";"1";"2";"2";"rapidissimo";"G";"rapidissimo#2"
"scarsi#negative";"1";"2";"2";"scarso";"G";"scarsi#2"
"gratis#positive";"1";"2";"2";"gratis";"N";"gratis#2"
"strappata#negative";"1";"2";"2";"strappato";"G";"strappata#2"
"accessibili#positive";"1";"2";"2";"accessibile";"G";"accessibili#2"
"sconsigliato#negative";"1";"2";"2";"sconsigliare";"V";"sconsigliato#2"
"massima#strongpositive";"1";"2";"2";"massimo";"G";"massima#2"
"favoloso#strongpositive";"1";"2";"2";"favoloso";"R";"favoloso#2"
"eccezionali#strongpositive";"1";"2";"2";"eccezionale";"G";"eccezionali#2"
"maleodorante#negative";"1";"2";"2";"maleodorante";"V";"maleodorante#2"
