"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"spostamenti#unknown";"1";"2";"2";"spostamento";"N";"spostamenti#2"
"cuscini#Beds";"1";"2";"2";"cuscino";"N";"cuscini#2"
"minimarket#unknown";"1";"2";"2";"minimarket";"G";"minimarket#2"
"frigobar#Facilities";"1";"2";"2";"frigobar";"N";"frigobar#2"
"tariffe#Value-for-money";"1";"2";"2";"tariffa";"N";"tariffe#2"
"spiagge#unknown";"1";"2";"2";"spiaggia";"N";"spiagge#2"
"receptionist#Staff";"1";"2";"2";"receptionist";"R";"receptionist#2"
"proprietaria#Staff";"1";"2";"2";"proprietario";"N";"proprietaria#2"
"intonaco#Interior/exterior";"1";"2";"2";"intonaco";"R";"intonaco#2"
"televisione#Facilities";"1";"2";"2";"televisione";"N";"televisione#2"
"pancake#Breakfast";"1";"1";"1";"pancake";"N";"pancake#1"
"spremute#Breakfast";"1";"1";"1";"spremuta";"N";"spremute#1"
"follonica#unknown";"1";"1";"1";"follonica";"G";"follonica#1"
"finiture#unknown";"1";"1";"1";"finitura";"N";"finiture#1"
"colosseo#unknown";"1";"1";"1";"colosseo";"R";"colosseo#1"
"ascensore.#Facilities";"1";"1";"1";"ascensore.";"N";"ascensore.#1"
"giardini#unknown";"1";"1";"1";"giardino";"N";"giardini#1"
"vialetti#Interior/exterior";"1";"1";"1";"vialetti";"N";"vialetti#1"
"trilocale#Rooms";"1";"1";"1";"trilocale";"G";"trilocale#1"
"propietario#Staff";"1";"1";"1";"propietario";"N";"propietario#1"
"dessert#unknown";"1";"1";"1";"dessert";"N";"dessert#1"
"ombrelli#Facilities";"1";"1";"1";"ombrello";"N";"ombrelli#1"
"attese#unknown";"1";"1";"1";"attesa";"N";"attese#1"
"tappeto#unknown";"1";"1";"1";"tappeto";"N";"tappeto#1"
"camee#Rooms";"1";"1";"1";"camee";"N";"camee#1"
"scaldasalviette#Facilities";"1";"1";"1";"scaldasalviette";"R";"scaldasalviette#1"
"brasserie#Breakfast";"1";"1";"1";"brasserie";"R";"brasserie#1"
"bollitore#Facilities";"1";"1";"1";"bollitore";"N";"bollitore#1"
"solarium#unknown";"1";"1";"1";"solarium";"R";"solarium#1"
"restiling#unknown";"1";"1";"1";"restiling";"N";"restiling#1"
"bancomat#unknown";"1";"1";"1";"bancomat";"R";"bancomat#1"
"bicchieri#unknown";"1";"1";"1";"bicchiere";"N";"bicchieri#1"
"terazzino#unknown";"1";"1";"1";"terazzino";"N";"terazzino#1"
"personale.#Staff";"1";"1";"1";"personale.";"N";"personale.#1"
"superfici#Interior/exterior";"1";"1";"1";"superficie";"N";"superfici#1"
"vetrata#Rooms";"1";"1";"1";"vetrata";"N";"vetrata#1"
"contorni#unknown";"1";"1";"1";"contorno";"N";"contorni#1"
"luxor#unknown";"1";"1";"1";"luxor";"N";"luxor#1"
"terme#unknown";"1";"1";"1";"terme";"N";"terme#1"
"accettazione#unknown";"1";"1";"1";"accettazione";"N";"accettazione#1"
"cucinino#unknown";"1";"1";"1";"cucinino";"N";"cucinino#1"
"addetti#unknown";"1";"1";"1";"addetto";"N";"addetti#1"
"cassaforti#Facilities";"1";"1";"1";"cassaforti";"N";"cassaforti#1"
"comodini#Rooms";"1";"1";"1";"comodino";"N";"comodini#1"
"rumorosità#Noisiness";"1";"1";"1";"rumorosita'";"N";"rumorosità#1"
"divani#unknown";"1";"1";"1";"divano";"N";"divani#1"
"cotte#Restaurant";"1";"1";"1";"cotta";"R";"cotte#1"
"cuoco#Restaurant";"1";"1";"1";"cuoco";"N";"cuoco#1"
"minibar#Facilities";"1";"1";"1";"minibar";"R";"minibar#1"
"restyling#unknown";"1";"1";"1";"restyling";"N";"restyling#1"
"mattonella#Bathroom";"1";"1";"1";"mattonella";"N";"mattonella#1"
"pentole#Facilities";"1";"1";"1";"pentola";"N";"pentole#1"
"quadri#Interior/exterior";"1";"1";"1";"quadro";"N";"quadri#1"
"mojito.#unknown";"1";"1";"1";"mojito.";"N";"mojito.#1"
