"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"verschrikkelijk#strongnegative";"1";"4";"4";"verschrikkelijk";"N";"verschrikkelijk#4"
"attente#positive";"1";"3";"3";"attente";"N";"attente#3"
"fantatisch#strongpositive";"1";"2";"2";"Fantatisch";"R";"fantatisch#2"
"toffe#positive";"1";"2";"2";"toffe";"G";"toffe#2"
"vuile#negative";"1";"2";"2";"vuile";"R";"vuile#2"
"zielig#negative";"1";"2";"2";"zielig";"G";"zielig#2"
"overzichtelijk#positive";"1";"2";"2";"overzichtelijk";"G";"overzichtelijk#2"
"horkerig#negative";"1";"2";"2";"horkerig";"N";"horkerig#2"
"klantgericht#positive";"1";"2";"2";"klantgericht";"N";"klantgericht#2"
"deftige#positive";"1";"2";"2";"deftige";"G";"deftige#2"
"bedompte#negative";"1";"2";"2";"bedompte";"N";"bedompte#2"
"schattig#positive";"1";"2";"2";"schattig";"N";"schattig#2"
"betaalbaar#positive";"1";"2";"2";"betaalbaar";"A";"betaalbaar#2"
"lawaaierig#negative";"1";"2";"2";"lawaaierig";"N";"lawaaierig#2"
"comfortabele#positive";"1";"2";"2";"Comfortabele";"R";"comfortabele#2"
"gefopt#negative";"1";"2";"2";"Gefopt";"R";"gefopt#2"
"attent#positive";"1";"2";"2";"attent";"G";"attent#2"
"aanfluiting#strongnegative";"1";"2";"2";"aanfluiting";"N";"aanfluiting#2"
"vreselijke#strongnegative";"1";"2";"2";"vreselijke";"N";"vreselijke#2"
"koker.geen#negative";"1";"1";"1";"koker.Geen";"R";"koker.geen#1"
"afsnauwen#strongnegative";"1";"1";"1";"afsnauwen";"N";"afsnauwen#1"
"volkoren#positive";"1";"1";"1";"volkoren";"G";"volkoren#1"
"dweilen.#negative";"1";"1";"1";"dweilen.";"O";"dweilen.#1"
"behulpzame#positive";"1";"1";"1";"behulpzame";"G";"behulpzame#1"
"onaangekondigde#negative";"1";"1";"1";"onaangekondigde";"N";"onaangekondigde#1"
"shone#positive";"1";"1";"1";"shone";"N";"shone#1"
"voortreffelijk.#strongpositive";"1";"1";"1";"voortreffelijk.";"G";"voortreffelijk.#1"
"onvoldoende#negative";"1";"1";"1";"Onvoldoende";"R";"onvoldoende#1"
"stug#negative";"1";"1";"1";"stug";"N";"stug#1"
"fantatich#strongpositive";"1";"1";"1";"fantatich";"G";"fantatich#1"
"agressief#strongnegative";"1";"1";"1";"agressief";"N";"agressief#1"
"afhalen#negative";"1";"1";"1";"afhalen";"G";"afhalen#1"
