"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"standaardkamer#Rooms";"1";"2";"2";"Standaardkamer";"R";"standaardkamer#2"
"management#Staff";"1";"2";"2";"management";"N";"management#2"
"lokatie#Location";"1";"2";"2";"lokatie";"N";"lokatie#2"
"accommodatie#unknown";"1";"2";"2";"accommodatie";"R";"accommodatie#2"
"bestek#Restaurant";"1";"2";"2";"bestek";"V";"bestek#2"
"parkeergelegenheid#Car parking";"1";"2";"2";"parkeergelegenheid";"N";"parkeergelegenheid#2"
"eenpersoonskamer#Rooms";"1";"2";"2";"Eenpersoonskamer";"R";"eenpersoonskamer#2"
"behang#Interior/exterior";"1";"2";"2";"behang";"N";"behang#2"
"hok#unknown";"1";"1";"1";"hok";"N";"hok#1"
"italiaan#Restaurant";"1";"1";"1";"italiaan";"O";"italiaan#1"
"hotelpersoneel#Staff";"1";"1";"1";"Hotelpersoneel";"R";"hotelpersoneel#1"
"madeira#unknown";"1";"1";"1";"Madeira";"R";"madeira#1"
"fruitsap#Restaurant";"1";"1";"1";"fruitsap";"N";"fruitsap#1"
"ham#Breakfast";"1";"1";"1";"ham";"N";"ham#1"
"anımatıe#Facilities";"1";"1";"1";"anımatıe";"D";"anımatıe#1"
"exurcies#unknown";"1";"1";"1";"exurcies";"N";"exurcies#1"
"rum#unknown";"1";"1";"1";"rum";"N";"rum#1"
"kamerthemperatuur#Rooms";"1";"1";"1";"Kamerthemperatuur";"R";"kamerthemperatuur#1"
"restaurantje#Restaurant";"1";"1";"1";"restaurantje";"N";"restaurantje#1"
"snooker#unknown";"1";"1";"1";"snooker";"N";"snooker#1"
"airco.gelegen#Facilities";"1";"1";"1";"airco.Gelegen";"R";"airco.gelegen#1"
"rustruimte#Facilities";"1";"1";"1";"rustruimte";"N";"rustruimte#1"
"badjas#unknown";"1";"1";"1";"Badjas";"R";"badjas#1"
".wat#unknown";"1";"1";"1";".wat";"G";".wat#1"
"staf#Staff";"1";"1";"1";"staf";"O";"staf#1"
"hoofdrestaurants#Restaurant";"1";"1";"1";"hoofdrestaurants";"N";"hoofdrestaurants#1"
"tapas#unknown";"1";"1";"1";"tapa";"N";"tapas#1"
"suıtes#Rooms";"1";"1";"1";"suıtes";"N";"suıtes#1"
"lampen#Interior/exterior";"1";"1";"1";"lampen";"G";"lampen#1"
"whiskey#unknown";"1";"1";"1";"whiskey";"N";"whiskey#1"
"uitvalbasis#unknown";"1";"1";"1";"uitvalbasis";"N";"uitvalbasis#1"
"waterig#unknown";"1";"1";"1";"waterig";"N";"waterig#1"
"badkamerdeur#Bathroom";"1";"1";"1";"Badkamerdeur";"R";"badkamerdeur#1"
"houskeepinge#Cleanliness";"1";"1";"1";"houskeepinge";"N";"houskeepinge#1"
"mimo#unknown";"1";"1";"1";"Mimo";"R";"mimo#1"
"snufjes#unknown";"1";"1";"1";"snufjes";"N";"snufjes#1"
"sabry#Staff";"1";"1";"1";"sabry";"G";"sabry#1"
"kinderzwembad#Swimming pool";"1";"1";"1";"kinderzwembad";"N";"kinderzwembad#1"
"tuinen#Interior/exterior";"1";"1";"1";"tuinen";"G";"tuinen#1"
"kinderbuffet#Restaurant";"1";"1";"1";"kinderbuffet";"G";"kinderbuffet#1"
"degelijkheid#unknown";"1";"1";"1";"degelijkheid";"N";"degelijkheid#1"
"saunacomplex#Facilities";"1";"1";"1";"saunacomplex";"N";"saunacomplex#1"
"waterijsjes#unknown";"1";"1";"1";"waterijsjes";"N";"waterijsjes#1"
"achterzijde#unknown";"1";"1";"1";"achterzijde";"V";"achterzijde#1"
"grappen#unknown";"1";"1";"1";"grappen";"N";"grappen#1"
"snorkelplek#Location";"1";"1";"1";"snorkelplek";"O";"snorkelplek#1"
"discobar#Facilities";"1";"1";"1";"discobar";"N";"discobar#1"
"sapjes#Breakfast";"1";"1";"1";"sapjes";"V";"sapjes#1"
"kamers.vriendelijk#Rooms";"1";"1";"1";"kamers.vriendelijk";"O";"kamers.vriendelijk#1"
"nachtlampjes#Interior/exterior";"1";"1";"1";"nachtlampjes";"N";"nachtlampjes#1"
"maaltijd#Restaurant";"1";"1";"1";"maaltijd";"N";"maaltijd#1"
"skiegebied#Location";"1";"1";"1";"skiegebied";"G";"skiegebied#1"
"nl'#unknown";"1";"1";"1";"NL'";"R";"nl'#1"
"omgangsvormen#Staff";"1";"1";"1";"omgangsvormen";"N";"omgangsvormen#1"
"beddegoed#Beds";"1";"1";"1";"beddegoed";"V";"beddegoed#1"
"vandaar#unknown";"1";"1";"1";"vandaar";"O";"vandaar#1"
"fitnessruimte#Facilities";"1";"1";"1";"fitnessruimte";"G";"fitnessruimte#1"
"fitnesszaal#Facilities";"1";"1";"1";"fitnesszaal";"G";"fitnesszaal#1"
"schoonmaken#Cleanliness";"1";"1";"1";"Schoonmaken";"R";"schoonmaken#1"
"ambiance#Interior/exterior";"1";"1";"1";"ambiance";"N";"ambiance#1"
"matraki#Location";"1";"1";"1";"Matraki";"R";"matraki#1"
"trekkersvelden#unknown";"1";"1";"1";"trekkersvelden";"G";"trekkersvelden#1"
"bagagekruiers#Staff";"1";"1";"1";"bagagekruiers";"N";"bagagekruiers#1"
"binnentelefoon#Facilities";"1";"1";"1";"Binnentelefoon";"R";"binnentelefoon#1"
"hostal#unknown";"1";"1";"1";"hostal";"N";"hostal#1"
"linnen#Beds";"1";"1";"1";"linnen";"N";"linnen#1"
"zithoek.dat#unknown";"1";"1";"1";"zithoek.dat";"N";"zithoek.dat#1"
"hotspot#unknown";"1";"1";"1";"Hotspot";"R";"hotspot#1"
"hotel.je#Cleanliness";"1";"1";"1";"hotel.je";"N";"hotel.je#1"
"kapper#Facilities";"1";"1";"1";"kapper";"N";"kapper#1"
"grijpmachines#Facilities";"1";"1";"1";"grijpmachines";"N";"grijpmachines#1"
"vakantieresort#unknown";"1";"1";"1";"vakantieresort";"N";"vakantieresort#1"
